zeros	ones	twos	U	L	H	I	Length of Sequence
0	0.120689655172414	0.796551724137931	0	0	0.0827586206896552	0	290
0	0.0466666666666667	0.0666666666666667	0.733333333333333	0	0.153333333333333	0	150
0	0.252777777777778	0.394444444444444	0.0444444444444444	0	0.308333333333333	0	360
0	0.368421052631579	0.0526315789473684	0	0	0.578947368421053	0	38
0	0.3125	0.0625	0	0	0.625	0	32
0	0.17741935483871	0.0483870967741935	0	0	0.774193548387097	0	62
0	0.433333333333333	0.0666666666666667	0	0	0.5	0	60
0	0.0487804878048781	0.0121951219512195	0.810975609756098	0	0.128048780487805	0	164
0.0757575757575758	0.181818181818182	0.106060606060606	0	0	0.636363636363636	0	66
0	0.2	0.225	0	0	0.575	0	40
0	0.10958904109589	0.273972602739726	0.315068493150685	0	0.301369863013699	0	73
0.0909090909090909	0.119318181818182	0.409090909090909	0	0	0.380681818181818	0	176
0	0.222222222222222	0.25	0	0	0.527777777777778	0	36
0.0029673590504451	0.261127596439169	0.210682492581602	0.0029673590504451	0	0.522255192878338	0	337
0	0.355555555555556	0.0666666666666667	0.0222222222222222	0	0.555555555555556	0	45
0	0.202380952380952	0.523809523809524	0.0119047619047619	0	0.261904761904762	0	84
0	0.158415841584158	0.564356435643564	0.00198019801980198	0	0.275247524752475	0	505
0	0.4	0.246153846153846	0	0	0.353846153846154	0	65
0	0.5	0.1	0.025	0	0.375	0	40
0	0.1875	0.0625	0	0	0.75	0	32
0	0.515492957746479	0.138028169014085	0	0	0.346478873239437	0	355
0	0.704545454545455	0.0795454545454545	0	0	0.215909090909091	0	88
0	0.0491228070175439	0.796491228070175	0.0771929824561404	0	0.0771929824561404	0	285
0	0.0913978494623656	0.747311827956989	0.120967741935484	0	0.0403225806451613	0	372
0	0.767241379310345	0.0172413793103448	0	0	0.21551724137931	0	116
0	0.0680628272251309	0.801047120418848	0	0	0.130890052356021	0	191
0	0.408510638297872	0.238297872340426	0	0	0.353191489361702	0	235
0.0182481751824818	0.0766423357664234	0.14963503649635	0.605839416058394	0	0.14963503649635	0	274
0.0149700598802395	0.212574850299401	0.194610778443114	0	0	0.577844311377245	0	334
0	0.0334075723830735	0.287305122494432	0.590200445434298	0	0.089086859688196	0	449
0	0.333333333333333	0.114035087719298	0.0350877192982456	0.131578947368421	0.385964912280702	0	114
0	0.180811808118081	0.125461254612546	0.346863468634686	0	0.346863468634686	0	271
0	0.291139240506329	0.0886075949367089	0	0	0.620253164556962	0	79
0	0.219512195121951	0.0640243902439024	0.0426829268292683	0	0.673780487804878	0	328
0	0.216216216216216	0.162162162162162	0	0	0.621621621621622	0	37
0	0.0578231292517007	0.86734693877551	0	0	0.0748299319727891	0	294
0	0.419354838709677	0.133640552995392	0	0	0.447004608294931	0	217
0	0.24812030075188	0.210526315789474	0	0	0.541353383458647	0	266
0	0.193548387096774	0.274193548387097	0.161290322580645	0	0.370967741935484	0	62
0	0.265957446808511	0.315602836879433	0.00709219858156028	0	0.411347517730496	0	282
0	0.345132743362832	0.247787610619469	0	0	0.407079646017699	0	226
0	0.0689655172413793	0.137931034482759	0	0	0.793103448275862	0	29
0	0.213953488372093	0.376744186046512	0	0	0.409302325581395	0	215
0	0.493827160493827	0.0493827160493827	0	0	0.45679012345679	0	81
0	0.154639175257732	0.0206185567010309	0.608247422680412	0	0.216494845360825	0	97
0	0.0335195530726257	0.0670391061452514	0.832402234636871	0	0.0670391061452514	0	179
0	0.162790697674419	0.0232558139534884	0.255813953488372	0	0.558139534883721	0	43
0	0.111111111111111	0.0505050505050505	0.606060606060606	0	0.232323232323232	0	99
0	0.333333333333333	0.298245614035088	0.0175438596491228	0	0.350877192982456	0	57
0	0.28125	0.30625	0.00625	0	0.40625	0	160
0	0.41304347826087	0.108695652173913	0.0217391304347826	0	0.456521739130435	0	46
0	0.0378548895899054	0.79179810725552	0.0977917981072555	0	0.0725552050473186	0	317
0	0.0555555555555556	0.842995169082126	0	0	0.101449275362319	0	414
0	0.153846153846154	0.356275303643725	0	0	0.489878542510121	0	247
0	0.271111111111111	0.217777777777778	0	0	0.511111111111111	0	225
0	0.170305676855895	0.14410480349345	0	0	0.685589519650655	0	229
0	0.271812080536913	0.157718120805369	0.00335570469798658	0	0.567114093959732	0	298
0	0.519230769230769	0.0384615384615385	0	0	0.442307692307692	0	52
0	0.289473684210526	0.197368421052632	0	0	0.513157894736842	0	76
0	0.446153846153846	0.107692307692308	0	0	0.446153846153846	0	65
0	0.894117647058824	0.0274509803921569	0	0	0.0784313725490196	0	255
0	0.0139211136890951	0.0603248259860789	0.814385150812065	0	0.111368909512761	0	431
0.00198412698412698	0.214285714285714	0.19047619047619	0	0	0.593253968253968	0	504
0	0.277777777777778	0.0173611111111111	0.631944444444444	0	0.0729166666666667	0	288
0	0.510204081632653	0.346938775510204	0.0204081632653061	0	0.122448979591837	0	49
0	0.372340425531915	0.212765957446809	0.212765957446809	0	0.202127659574468	0	94
0	0.193548387096774	0.0645161290322581	0	0	0.741935483870968	0	31
0	0.563829787234043	0.223404255319149	0.0106382978723404	0	0.202127659574468	0	94
0	0.303571428571429	0.339285714285714	0	0	0.357142857142857	0	56
0	0.242424242424242	0.5	0.0151515151515152	0	0.242424242424242	0	66
0.0124223602484472	0.366459627329193	0.15527950310559	0	0	0.46583850931677	0	161
0	0.25609756097561	0.219512195121951	0.146341463414634	0	0.378048780487805	0	82
0.108843537414966	0.496598639455782	0	0	0	0.394557823129252	0	147
0	0.256578947368421	0.164473684210526	0	0	0.578947368421053	0	152
0	0.326086956521739	0.146739130434783	0	0	0.527173913043478	0	184
0	0.131630648330059	0.318271119842829	0	0	0.550098231827112	0	509
0	0.3	0.07	0	0	0.63	0	100
0	0.207386363636364	0.210227272727273	0.0795454545454545	0	0.502840909090909	0	352
0	0.436170212765957	0.159574468085106	0	0	0.404255319148936	0	188
0	0.474358974358974	0.128205128205128	0	0	0.397435897435897	0	156
0	0.209302325581395	0.236434108527132	0.0116279069767442	0	0.542635658914729	0	258
0	0.0353982300884956	0.0619469026548673	0.707964601769911	0	0.194690265486726	0	113
0.00581395348837209	0.315891472868217	0.11046511627907	0.00581395348837209	0	0.562015503875969	0	516
0	0.192307692307692	0.159340659340659	0	0	0.648351648351648	0	182
0	0.146067415730337	0.269662921348315	0	0	0.584269662921348	0	89
0	0.371134020618557	0.0670103092783505	0	0	0.561855670103093	0	194
0	0.863247863247863	0.0626780626780627	0	0	0.0740740740740741	0	351
0	0.201058201058201	0.164021164021164	0	0	0.634920634920635	0	189
0	0.0833333333333333	0.779761904761905	0	0	0.136904761904762	0	168
0	0.176470588235294	0.147058823529412	0	0	0.676470588235294	0	34
0	0.513333333333333	0.213333333333333	0	0	0.273333333333333	0	300
0	0.301994301994302	0.0455840455840456	0.404558404558405	0	0.247863247863248	0	351
0	0.588075880758808	0.0501355013550136	0.169376693766938	0	0.192411924119241	0	738
0	0.253378378378378	0.324324324324324	0	0	0.422297297297297	0	296
0	0.0557620817843866	0.762081784386617	0.100371747211896	0	0.0817843866171004	0	269
0	0.701694915254237	0.0745762711864407	0	0.0440677966101695	0.179661016949153	0	295
0	0.833333333333333	0.0691489361702128	0.0141843971631206	0	0.0833333333333333	0	564
0	0.0256410256410256	0.0192307692307692	0.782051282051282	0	0.173076923076923	0	156
